epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4423.8,1.04876,1.08894,0.97631,0.76604,0.70863,0.80886,0.43938,1.74897,1.45723,1.40747,8.33788e-05,8.33788e-05,8.33788e-05
167,4444.02,0.9739,0.94446,0.96131,0.76604,0.70863,0.80886,0.43938,1.74897,1.45723,1.40747,8.11265e-05,8.11265e-05,8.11265e-05
168,4466.03,1.0501,1.04166,0.98243,0.77265,0.69633,0.80779,0.44644,1.75171,1.45902,1.40283,7.88743e-05,7.88743e-05,7.88743e-05
169,4490.33,1.03756,1.01278,0.97049,0.77265,0.69633,0.80779,0.44644,1.75171,1.45902,1.40283,7.6622e-05,7.6622e-05,7.6622e-05
170,4511.52,0.98718,0.99846,0.97866,0.78152,0.6927,0.81053,0.43904,1.75174,1.46627,1.40354,7.43698e-05,7.43698e-05,7.43698e-05
171,4531.47,0.95791,0.96311,0.97979,0.78152,0.6927,0.81053,0.43904,1.75174,1.46627,1.40354,7.21175e-05,7.21175e-05,7.21175e-05
172,4551.55,0.9549,0.93991,0.96556,0.71028,0.76335,0.81546,0.43732,1.74739,1.46436,1.40042,6.98653e-05,6.98653e-05,6.98653e-05
173,4571.55,0.96782,0.95875,0.9759,0.71028,0.76335,0.81546,0.43732,1.74739,1.46436,1.40042,6.7613e-05,6.7613e-05,6.7613e-05
174,4591.89,0.93803,0.96593,0.97933,0.79496,0.68648,0.81562,0.44331,1.74057,1.45474,1.39952,6.53608e-05,6.53608e-05,6.53608e-05
175,4613.02,0.9814,0.96605,0.97809,0.79496,0.68648,0.81562,0.44331,1.74057,1.45474,1.39952,6.31085e-05,6.31085e-05,6.31085e-05
176,4634.59,1.00905,1.0359,0.99514,0.81198,0.6944,0.81907,0.44204,1.73607,1.45098,1.39711,6.08563e-05,6.08563e-05,6.08563e-05
